"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","word","color","congruency","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","23664","0.0-2.0-0.8","fixation","","","","",""
"1101","<p style='color:green;font-size:60pt;'>GREEN</p>","g","html-keyboard-response","19","24766","0.0-2.0-1.8","stroop","g","GREEN","green","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","26768","0.0-2.0-0.9","fixation","","","","",""
"584","<p style='color:yellow;font-size:60pt;'>BLUE</p>","y","html-keyboard-response","21","27353","0.0-2.0-1.9","stroop","y","BLUE","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","29355","0.0-2.0-0.10","fixation","","","","",""
"877","<p style='color:green;font-size:60pt;'>YELLOW</p>","g","html-keyboard-response","23","30234","0.0-2.0-1.10","stroop","g","YELLOW","green","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","32236","0.0-2.0-0.11","fixation","","","","",""
"696","<p style='color:blue;font-size:60pt;'>RED</p>","b","html-keyboard-response","25","32933","0.0-2.0-1.11","stroop","b","RED","blue","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","34936","0.0-2.0-0.12","fixation","","","","",""
"718","<p style='color:red;font-size:60pt;'>BLUE</p>","r","html-keyboard-response","27","35656","0.0-2.0-1.12","stroop","r","BLUE","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","36658","0.0-2.0-0.13","fixation","","","","",""
"661","<p style='color:blue;font-size:60pt;'>BLUE</p>","b","html-keyboard-response","29","37321","0.0-2.0-1.13","stroop","b","BLUE","blue","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","39323","0.0-2.0-0.14","fixation","","","","",""
"696","<p style='color:red;font-size:60pt;'>YELLOW</p>","r","html-keyboard-response","31","40020","0.0-2.0-1.14","stroop","r","YELLOW","red","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","42023","0.0-2.0-0.15","fixation","","","","",""
"607","<p style='color:yellow;font-size:60pt;'>GREEN</p>","y","html-keyboard-response","33","42631","0.0-2.0-1.15","stroop","y","GREEN","yellow","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","43634","0.0-2.0-0.16","fixation","","","","",""
"592","<p style='color:yellow;font-size:60pt;'>YELLOW</p>","y","html-keyboard-response","35","44228","0.0-2.0-1.16","stroop","y","YELLOW","yellow","Congruent","true"
